"Energy","Electricity_Generation","Power_Sector_Emissions"
"Fossil",14.56,11.21
"Fossil",15.42,11.79
"Fossil",14.24,11
"Fossil",12.03,9.41
"Fossil",12.19,9.46
"Fossil",12.44,9.74
"Fossil",13.1,10.25
"Fossil",13.42,10.53
"Fossil",12.19,9.61
"Fossil",13.18,10.35
"Fossil",12.61,9.88
"Fossil",13.51,10.52
"Fossil",14.24,10.88
"Fossil",14.63,11.38
"Fossil",13.21,10.3
"Fossil",11.45,8.98
"Fossil",11.55,9.09
"Fossil",11.39,8.97
"Fossil",12.13,9.53
"Fossil",13.35,10.46
"Fossil",11.7,9.14
"Fossil",13.08,10.22
"Fossil",12.03,9.32
"Fossil",13.17,10.1
"Fossil",13.57,10.22
"Fossil",14.46,10.98
"Fossil",13.16,10.14
"Fossil",11.74,9.12
"Fossil",11.47,8.94
"Fossil",1.67,0.96
"Fossil",1.63,0.95
"Fossil",1.57,0.91
"Fossil",1.38,0.83
"Fossil",1.18,0.77
"Fossil",1.03,0.68
"Fossil",1.2,0.78
"Fossil",1.01,0.65
"Fossil",1.07,0.68
"Fossil",1.38,0.84
"Fossil",1.18,0.64
"Fossil",1.68,1
"Fossil",1.55,0.86
"Fossil",1.23,0.68
"Fossil",1.05,0.59
"Fossil",0.72,0.41
"Fossil",0.21,0.12
"Fossil",0.17,0.1
"Fossil",0.16,0.09
"Fossil",0.13,0.08
"Fossil",0.56,0.29
"Fossil",1.14,0.66
"Fossil",1.56,0.86
"Fossil",1.91,1.04
"Fossil",2.62,1.4
"Fossil",1.8,0.96
"Fossil",1.18,0.65
"Fossil",0.7,0.38
"Fossil",0.24,0.14
"Fossil",0.52,0.28
"Fossil",0.46,0.25
"Fossil",0.44,0.24
"Fossil",0.51,0.27
"Fossil",0.99,0.55
"Fossil",1.46,0.81
"Fossil",1.29,0.72
"Fossil",1.45,0.8
"Fossil",1.54,0.85
"Fossil",1.26,0.71
"Fossil",0.38,0.22
"Fossil",0.2,0.11
"Fossil",0.28,0.15
"Fossil",0.31,0.17
"Fossil",0.42,0.22
"Fossil",0.64,0.36
"Fossil",1.01,0.58
"Fossil",1.47,0.81
"Fossil",1.85,0.99
"Fossil",1.84,0.98
"Fossil",1.5,0.82
"Fossil",0.88,0.49
"Fossil",0.72,0.4
"Fossil",0.24,0.16
"Fossil",0.35,0.22
"Fossil",0.7,0.4
"Fossil",0.8,0.41
"Fossil",1.05,0.54
"Fossil",1.45,0.77
"Fossil",1.48,0.78
"Fossil",1.47,0.77
"Fossil",2.03,1.05
"Fossil",1.18,0.64
"Fossil",1.14,0.61
"Fossil",0.5,0.26
"Fossil",0.17,0.1
"Fossil",0.18,0.1
"Fossil",0.53,0.28
"Fossil",0.49,0.26
"Fossil",0.49,0.26
"Fossil",0.9,0.46
"Fossil",1.27,0.64
"Fossil",1.56,0.78
"Fossil",1.55,0.78
"Fossil",1.23,0.62
"Fossil",1.19,0.6
"Fossil",0.94,0.48
"Fossil",0.36,0.19
"Fossil",0.17,0.1
"Fossil",0.17,0.1
"Fossil",0.14,0.08
"Fossil",0.28,0.15
"Fossil",1.02,0.52
"Fossil",1.65,0.82
"Fossil",1.66,0.83
"Fossil",1.6,0.8
"Fossil",1.34,0.68
"Fossil",1.65,0.82
"Fossil",0.89,0.45
"Fossil",0.69,0.35
"Fossil",0.22,0.12
"Fossil",0.31,0.17
"Fossil",0.29,0.16
"Fossil",0.87,0.44
"Fossil",0.93,0.47
"Fossil",1.88,1.08
"Fossil",1.58,0.92
"Fossil",1.63,0.94
"Fossil",1.44,0.83
"Fossil",1.17,0.68
"Fossil",1.12,0.64
"Fossil",1.22,0.7
"Fossil",1.12,0.64
"Fossil",1.05,0.6
"Fossil",1.11,0.64
"Fossil",1.33,0.77
"Fossil",1.51,0.87
"Fossil",1.51,0.87
"Fossil",1.36,0.78
"Fossil",1.45,0.84
"Fossil",1.24,0.72
"Fossil",1.07,0.62
"Fossil",1.08,0.62
"Fossil",1.15,0.66
"Fossil",1.22,0.7
"Fossil",1.04,0.6
"Fossil",1.1,0.64
"Fossil",1.28,0.74
"Fossil",1.38,0.8
"Fossil",1.6,0.92
"Fossil",1.53,0.88
"Fossil",1.72,0.99
"Fossil",1.48,0.86
"Fossil",1.17,0.68
"Fossil",1.15,0.66
"Fossil",1.4,0.81
"Fossil",1.34,0.78
"Fossil",1.14,0.66
"Fossil",1.29,0.74
"Fossil",1.65,0.96
"Fossil",1.82,1.05
"Fossil",1.99,1.14
"Fossil",1.97,1.14
"Fossil",1.99,1.14
"Fossil",1.43,0.82
"Fossil",1.38,0.8
"Fossil",1.43,0.82
"Fossil",1.54,0.89
"Fossil",1.63,0.94
"Fossil",1.36,0.78
"Fossil",1.39,0.8
"Fossil",1.6,0.92
"Fossil",1.94,1.12
"Fossil",1.99,1.12
"Fossil",1.79,1.02
"Fossil",1.84,1.04
"Fossil",1.65,0.93
"Fossil",1.46,0.83
"Fossil",1.43,0.81
"Fossil",1.66,0.94
"Fossil",1.57,0.89
"Fossil",1.43,0.81
"Fossil",1.57,0.89
"Fossil",1.73,0.98
"Fossil",2.09,1.18
"Fossil",2.15,1.22
"Fossil",1.9,1.07
"Fossil",1.93,1.09
"Fossil",1.68,0.95
"Fossil",1.54,0.87
"Fossil",1.52,0.87
"Fossil",1.73,0.98
"Fossil",1.93,1.09
"Fossil",1.6,0.91
"Fossil",1.71,0.96
"Fossil",1.91,1.08
"Fossil",1.91,1.08
"Fossil",2.15,1.22
"Fossil",1.84,1.04
"Fossil",1.98,1.12
"Fossil",1.79,1.02
"Fossil",1.55,0.88
"Fossil",1.49,0.85
"Fossil",1.8,1.02
"Fossil",1.79,1.02
"Fossil",1.53,0.87
"Fossil",1.6,0.91
"Fossil",1.79,1.02
"Fossil",1.91,1.08
"Fossil",1.9,1.07
"Fossil",1.77,1
"Fossil",1.8,1.02
"Fossil",1.56,0.89
"Fossil",1.48,0.84
"Fossil",1.51,0.86
"Fossil",1.81,1.02
"Fossil",1.98,1.12
"Fossil",1.56,0.89
"Fossil",1.76,1
"Fossil",1.93,1.09
"Fossil",1.98,1.12
"Fossil",2.02,1.14
"Fossil",1.82,1.03
"Fossil",1.87,1.06
"Fossil",1.65,0.93
"Fossil",1.46,0.83
"Fossil",1.48,0.84
"Fossil",1.8,1.02
"Fossil",1.93,1.09
"Fossil",1.59,0.9
"Fossil",1.65,0.93
"Fossil",1.66,0.94
"Fossil",1.84,1.04
"Fossil",1.9,1.07
"Fossil",1.79,1.02
"Fossil",1.84,1.04
"Fossil",1.99,1.12
"Fossil",1.58,0.89
"Fossil",1.63,0.92
"Fossil",1.99,1.12
"Fossil",1.85,1.05
"Fossil",1.55,0.88
"Fossil",1.68,0.95
"Fossil",1.87,1.06
"Fossil",1.93,1.09
"Fossil",2.04,1.15
"Fossil",1.85,1.04
"Fossil",2.01,1.13
"Fossil",1.76,0.99
"Fossil",1.58,0.89
"Fossil",1.78,1
"Fossil",2.05,1.15
"Fossil",2.07,1.17
"Fossil",1.65,0.92
"Fossil",1.61,0.91
"Fossil",1.89,1.07
"Fossil",2.14,1.2
"Fossil",2.04,1.15
"Fossil",2.02,1.13
"Fossil",2.16,1.22
"Fossil",1.8,1.01
"Fossil",1.8,1.01
"Fossil",2.02,1.13
"Fossil",2.25,1.27
"Fossil",1.93,1.08
"Fossil",1.64,0.92
"Fossil",1.75,0.98
"Fossil",1.98,1.12
"Fossil",2.08,1.17
"Fossil",2.07,1.17
"Fossil",1.91,1.08
"Fossil",2.07,1.17
"Fossil",1.75,0.98
"Fossil",1.72,0.96
"Fossil",2,1.13
"Fossil",2.33,1.31
"Fossil",2.42,1.36
"Fossil",1.73,0.97
"Fossil",1.78,1
"Fossil",2.11,1.18
"Fossil",2.28,1.29
"Fossil",2.24,1.26
"Fossil",2.05,1.15
"Fossil",2.02,1.13
"Fossil",1.78,1
"Fossil",1.73,0.97
"Fossil",4.39,2.31
"Fossil",4.08,2.13
"Fossil",5.22,2.77
"Fossil",5.54,3.04
"Fossil",6.42,3.54
"Fossil",6.14,3.4
"Fossil",6.48,3.62
"Fossil",6.43,3.55
"Fossil",6.53,3.6
"Fossil",5.75,3.1
"Fossil",4.73,2.44
"Fossil",4.55,2.35
"Fossil",4.76,2.48
"Fossil",4.67,2.52
"Fossil",5.42,2.92
"Fossil",4.8,2.57
"Fossil",5.3,2.87
"Fossil",6.03,3.41
"Fossil",6.56,3.73
"Fossil",6.55,3.79
"Fossil",6.65,3.84
"Fossil",6.63,3.82
"Fossil",4.91,2.71
"Fossil",4.73,2.64
"Fossil",4.87,2.8
"Fossil",4.64,2.66
"Fossil",5.84,3.32
"Fossil",7.19,4.15
"Fossil",6.79,3.82
"Fossil",6.83,3.83
"Fossil",6.74,3.76
"Fossil",7.47,4.29
"Fossil",7.41,4.29
"Fossil",7.12,4.08
"Fossil",5.21,2.86
"Fossil",5,2.84
"Fossil",5.19,3.07
"Fossil",4.75,2.77
"Fossil",7.03,4.19
"Fossil",7.85,4.68
"Fossil",7.03,4.13
"Fossil",7.55,4.47
"Fossil",7.69,4.59
"Fossil",7.79,4.66
"Fossil",3.05,1.49
"Fossil",2.6,1.27
"Fossil",2.63,1.29
"Fossil",2.24,1.1
"Fossil",2.14,1.05
"Fossil",2.19,1.07
"Fossil",2.22,1.09
"Fossil",2.34,1.15
"Fossil",2.21,1.08
"Fossil",2.61,1.28
"Fossil",2.72,1.33
"Fossil",3.01,1.47
"Fossil",3.28,1.61
"Fossil",2.99,1.47
"Fossil",3.08,1.51
"Fossil",2.56,1.25
"Fossil",2.48,1.22
"Fossil",2.38,1.17
"Fossil",2.66,1.3
"Fossil",2.74,1.34
"Fossil",2.77,1.36
"Fossil",3.08,1.51
"Fossil",2.97,1.46
"Fossil",3.34,1.64
"Fossil",3.53,1.73
"Fossil",2.79,1.37
"Fossil",2.76,1.35
"Fossil",2.44,1.2
"Fossil",2.45,1.2
"Fossil",2.45,1.2
"Fossil",2.31,1.13
"Fossil",2.39,1.17
"Fossil",2.36,1.16
"Fossil",2.68,1.31
"Fossil",2.72,1.33
"Fossil",2.93,1.44
"Fossil",3.1,1.52
"Fossil",3.12,1.53
"Fossil",2.81,1.38
"Fossil",2.28,1.12
"Fossil",2.01,0.98
"Fossil",2.11,1.03
"Fossil",2.12,1.04
"Fossil",2.27,1.11
"Fossil",2.22,1.09
"Fossil",2.64,1.29
"Fossil",2.74,1.34
"Fossil",3.02,1.48
"Fossil",3.12,1.53
"Fossil",2.71,1.33
"Fossil",2.88,1.41
"Fossil",3.83,1.88
"Fossil",2.17,1.06
